coef	exp(coef)	se(coef)	z	cox.pval
RB1CC1	0.000109294401908365	1.00010930037476	7.22131255568603e-05	1.51349773418002	0.130153276263573
RBBP9	-0.000200469019836986	0.999799551072734	0.000224166871617033	-0.894284772727113	0.371169545080465
RHBDL3	0.000534275324976828	1.00053441807546	0.000375592820574008	1.42248545688469	0.154885370451891
RICTOR	0.000183415213125453	1.00018343203472	0.000206375192342642	0.888746418808569	0.374139377973738
RPL27	-1.86772746705922e-05	0.999981322899749	1.63543863016897e-05	-1.14203457873944	0.253439646761275
S100P	2.22754055202594e-05	1.00002227565362	1.91568354681664e-05	1.16279150370505	0.24491410516245
S1PR2	-0.00117772987301546	0.99882296337863	0.000583879221201511	-2.01707789941885	0.0436873845888738
SDC1	3.24747299119701e-05	1.00003247525722	1.03458826325193e-05	3.13890376156936	0.00169581132137908
SHB	-0.000243053730157786	0.999756975805007	0.000213173934245782	-1.14016627322529	0.254217035674599
SIK1	-2.77984973683978e-05	0.999972201889006	4.88967524066491e-05	-0.568514185506882	0.569685876220788
SLC12A6	-0.000392515391824685	0.999607561632264	0.000390077497386599	-1.00624976948022	0.314295436587253
SLC4A7	-5.66244263464516e-05	0.999943377176786	6.50666985595133e-05	-0.870252027535406	0.384162689066433
SMAD4	3.22384669306882e-05	1.0000322389866	0.000143138759434309	0.225225278311034	0.821804025341195
SNORD88C	0	1	0	NA	NA
SOX4	4.27051809414094e-05	1.00004270609282	3.16664272712384e-05	1.34859485649008	0.177467133678001
SP4	0.000267634305433481	1.00026767012269	0.000630723544078185	0.424329023303916	0.671325875552744
SRD5A1	6.49424380314806e-05	1.00006494454684	0.000115702681336	0.561287234501405	0.57460174251099
TACSTD2	-5.86043856435168e-06	0.999994139578608	1.74183171442841e-05	-0.336452627185905	0.73652956936884
TAP1	-6.04723242466074e-05	0.999939529504168	2.762282750814e-05	-2.18921557645709	0.0285811750355813
TAPBP	-0.000114205501194012	0.999885801020006	3.61650283193547e-05	-3.15789884596584	0.00158910688307057
TFAP2A	-3.91141958753268e-05	0.999960886569075	6.08508045425154e-05	-0.642788475343795	0.52036136218642
TMX1	-0.000193029609237572	0.999806989019779	0.00019344881026426	-0.997833013156736	0.318360338868867
TNFRSF10B	-0.00024974143069635	0.999750289752099	0.000212822656683554	-1.17347200992651	0.240606574917961
TNFRSF21	8.75307061209716e-05	1.00008753453705	7.5145921095003e-05	1.16480981063911	0.244095986810894
TRIM16L	-0.000141262691525009	0.999858747285579	0.000512963833433007	-0.275385285117686	0.78302024798102
TSR2	3.1353542236395e-05	1.00003135403376	0.000184776927109262	0.16968321059834	0.865259278587098
USP22	-6.16744512570154e-06	0.999993832573893	1.89342316199671e-05	-0.325729886984042	0.744628729836812
USP6NL	2.96270110829871e-05	1.00002962744997	0.000204453526187246	0.144908291069793	0.884783280207505
VHL	0.000261443864400364	1.00026147804383	9.73247916701118e-05	2.68630284138232	0.00722475725637017
XPC	0.000179939285026969	1.00017995547507	0.000230345723108252	0.781170505789705	0.434702218263968
ZFP36L2	-5.82236247667088e-05	0.999941778070196	3.16141368073595e-05	-1.84169585655601	0.065519650632503
ZNF358	-0.000296307492788025	0.999703736401942	0.000132018092652208	-2.24444609701056	0.0248037134108212
ZNF486	0.000296539186604616	1.0002965831587	0.000296189231938509	1.00118152393258	0.316739057249673
